('cinl', 'le'): 1.0
('boll', 'wtspc'): 1.0
('witz', 'wtspc'): 1.0
('iegf', 'r'): 1.0
('lenz', 'wtspc'): 1.0
('raff', 'wtspc'): 1.0
('dk', 'wtspc'): 1.0
('tgc', 'wtspc'): 1.0
('tk', 'pi'): 1.0
('tkpl', 'wtspc'): 1.0
('tbkp', 'wtspc'): 1.0
('hurch', 'tu'): 1.0
('jac', 'q'): 1.0
('dom', 'wtspc'): 1.0
('cess', 'wtspc'): 1.0
('sob', 'wtspc'): 1.0
('only', 'wtspc'): 1.0
('cern', 'wtspc'): 1.0
('www', 'wtspc'): 1.0
('fonk', 'si'): 1.0
('tdkp', 'wtspc'): 1.0
('tdkpl', 'wtspc'): 1.0
('mand', 'ros'): 1.0
('moc', 'ri'): 1.0
('chy', 'mis'): 1.0
('hann', 'wtspc'): 1.0
('oac', 'him'): 1.0
('eorg', 'wtspc'): 1.0
('ernst', 'wtspc'): 1.0
('tahl', 'wtspc'): 1.0
('golds', 't'): 1.0
('lowry', 'wtspc'): 1.0
('hcl', 'wtspc'): 1.0
('nacl', 'wtspc'): 1.0
('aals', 'wtspc'): 1.0
('vs', 'endsntnc'): 1.0
('ent', 'ro'): 1.0
('such', 'kov'): 1.0
('terry', 'wtspc'): 1.0
('ulys', 'ses'): 1.0
('zaj', 'wtspc'): 1.0
('nand', 'wtspc'): 1.0
('himm', 'wtspc'): 1.0
('mannst', 'rec'): 1.0
('watz', 'la'): 1.0
('oh', 'wtspc'): 1.0
('disch', 'wtspc'): 1.0
('sekl', 'wtspc'): 1.0
('wik', 'wtspc'): 1.0
('hof', 'wtspc'): 1.0
('elf', 'ce'): 1.0
('futsc', 'ha'): 1.0
('sansk', 'rit'): 1.0
('tibb', 'wtspc'): 1.0
('ourn', 'vil'): 1.0
('cew', 'ri'): 1.0
('hag', 'wtspc'): 1.0
('mentw', 'ri'): 1.0
('rolf', 'wtspc'): 1.0
('kusc', 'hel'): 1.0
('ransk', 'rip'): 1.0
('signw', 'ri'): 1.0
('bart', 'ma'): 1.0
('dgs', 'wtspc'): 1.0
('ogs', 'wtspc'): 1.0
('nzsl', 'wtspc'): 1.0
('nosys', 'wtspc'): 1.0
('asl', 'wtspc'): 1.0
('esh', 'kol'): 1.0
('dungs', 'zent'): 1.0
('zent', 'rum'): 1.0
('gesch', 'dig'): 1.0
('lisp', 'wtspc'): 1.0
('rows', 'ki'): 1.0
('dorf', 'wtspc'): 1.0
('dunc', 'wtspc'): 1.0
('gov', 'de'): 1.0
('ietzsc', 'he'): 1.0
('corn', 'wall'): 1.0
('mob', 'bing'): 1.0
('pirw', 'horf'): 1.0
('horf', 'wtspc'): 1.0
('rinks', 'wtspc'): 1.0
('renks', 'wtspc'): 1.0
('ieb', 'ru'): 1.0
('pors', 'por'): 1.0
('tormb', 'rin'): 1.0
('hargy', 'wtspc'): 1.0
('dings', 'wtspc'): 1.0
('csm', 'wtspc'): 1.0
('mays', 'ter'): 1.0
('mert', 'wtspc'): 1.0
('lost', 'wtspc'): 1.0
('beth', 'wtspc'): 1.0
('gottf', 'r'): 1.0
('hold', 'wtspc'): 1.0
('aeus', 'wtspc'): 1.0
('boldt', 'wtspc'): 1.0
('emb', 'ri'): 1.0
('hunt', 'wtspc'): 1.0
('alf', 'red'): 1.0
('iens', 'wtspc'): 1.0
('vum', 'wtspc'): 1.0
('aea', 'wtspc'): 1.0
('gans', 'wtspc'): 1.0
('rachy', 'da'): 1.0
('jiy', 'le'): 1.0
('aean', 'wtspc'): 1.0
('icbn', 'wtspc'): 1.0
('iczn', 'wtspc'): 1.0
('icnb', 'wtspc'): 1.0
('raft', 'wtspc'): 1.0
('icvcn', 'wtspc'): 1.0
('mals', 'wtspc'): 1.0
('zayn', 'wtspc'): 1.0
('mrg', 'wtspc'): 1.0
('feyn', 'ma'): 1.0
('aic', 'wtspc'): 1.0
('nomy', 'wtspc'): 1.0
('crys', 'tal'): 1.0
('aac', 'wtspc'): 1.0
('eeins', 't'): 1.0
('tirk', 'wtspc'): 1.0
('balt', 'fe'): 1.0
('jansky', 'nin'): 1.0
('cdm', 'wtspc'): 1.0
('lhc', 'wtspc'): 1.0
('nort', 'wtspc'): 1.0
('lanck', 'wtspc'): 1.0
('higgs', 'wtspc'): 1.0
('oj', 'wtspc'): 1.0
('uj', 'wtspc'): 1.0
('bm', 'wtspc'): 1.0
('jh', 'wtspc'): 1.0
('cx', 'wtspc'): 1.0
('gx', 'wtspc'): 1.0
('hx', 'wtspc'): 1.0
('jx', 'wtspc'): 1.0
('sx', 'wtspc'): 1.0
('ux', 'wtspc'): 1.0
('rekt', 'wtspc'): 1.0
('pid', 'wtspc'): 1.0
('noj', 'wtspc'): 1.0
('dojn', 'endsntnc'): 1.0
('iajn', 'wtspc'): 1.0
('mojn', 'endsntnc'): 1.0
('fingr', 'wtspc'): 1.0
('cef', 'wtspc'): 1.0
('ioj', 'wtspc'): 1.0
('auld', 'wtspc'): 1.0
('rown', 'wtspc'): 1.0
('dolc', 'ha'): 1.0
('outh', 'wtspc'): 1.0
('pafk', 'lik'): 1.0
('desk', 'r'): 1.0
('loj', 'ban'): 1.0
('ioq', 'r'): 1.0
('tizmp', 'rag'): 1.0
('pr', 'g'): 1.0
('remy', 'wtspc'): 1.0
('uart', 'wtspc'): 1.0
('nism', 'wtspc'): 1.0
('fic', 'wtspc'): 1.0
('nett', 'wtspc'): 1.0
('const', 'ruc'): 1.0
('vism', 'wtspc'): 1.0
('httpwww', 'endsntnc'): 1.0
('sers', 'feld'): 1.0
('gotsky', 'wtspc'): 1.0
('moll', 'wtspc'): 1.0
('gostky', 'wtspc'): 1.0
('htmhttpwww', 'endsntnc'): 1.0
('likst', 'ruc'): 1.0
('gag', 'non'): 1.0
('jr', 'endsntnc'): 1.0
('ooks', 'wtspc'): 1.0
('canhttpwww', 'endsntnc'): 1.0
('htmwww', 'endsntnc'): 1.0
('pnp', 'wtspc'): 1.0
('zorn', 'wtspc'): 1.0
('iwbf', 'wtspc'): 1.0
('rsv', 'wtspc'): 1.0
('dill', 'wtspc'): 1.0
('ummc', 'wtspc'): 1.0
('ranz', 'wtspc'): 1.0
('eur', 'wtspc'): 1.0
('orf', 'wtspc'): 1.0
('airp', 'lay'): 1.0
('pony', 'wtspc'): 1.0
('avm', 'wtspc'): 1.0
('rugby', 'wtspc'): 1.0
('vcd', 'wtspc'): 1.0
('mef', 'ru'): 1.0
('aaa', 'li'): 1.0
('bknz', 'endsntnc'): 1.0
('winc', 'hes'): 1.0
('rews', 'bury'): 1.0
('bury', 'wtspc'): 1.0
('camb', 'rid'): 1.0
('hef', 'f'): 1.0
('ield', 'wtspc'): 1.0
('cobb', 'wtspc'): 1.0
('mort', 'la'): 1.0
('cock', 'wtspc'): 1.0
('mcg', 're'): 1.0
('tayt', 'wtspc'): 1.0
('afc', 'wtspc'): 1.0
('ofc', 'wtspc'): 1.0
('girls', 'wtspc'): 1.0
('kerrs', 'wtspc'): 1.0
('fc', 'wtspc'): 1.0
('bandy', 'wtspc'): 1.0
('ym', 'ca'): 1.0
('beyz', 'bol'): 1.0
('bosch', 'wtspc'): 1.0
('gub', 're'): 1.0
('vant', 'wtspc'): 1.0
('zag', 'ros'): 1.0
('runc', 'gil'): 1.0
('towns', 'hend'): 1.0
('horn', 'wtspc'): 1.0
('nish', 'wtspc'): 1.0
('ply', 'm'): 1.0
('kayn', 'ka'): 1.0
('pold', 'wtspc'): 1.0
('nandr', 'wtspc'): 1.0
('dict', 'wtspc'): 1.0
('eoph', 'ras'): 1.0
('tard', 'wtspc'): 1.0
('earth', 'wtspc'): 1.0
('iart', 'wtspc'): 1.0
('yell', 'wtspc'): 1.0
('yuzyl', 'wtspc'): 1.0
('rift', 'wtspc'): 1.0
('eutsc', 'he'): 1.0
('gisc', 'he'): 1.0
('sellsc', 'haft'): 1.0
('aau', 'to'): 1.0
('auy', 'ma'): 1.0
('hed', 'ley'): 1.0
('bull', 'wtspc'): 1.0
('sunt', 'wtspc'): 1.0
('est', 'wtspc'): 1.0
('aior', 'wtspc'): 1.0
('rang', 'l'): 1.0
('rals', 'endsntnc'): 1.0
('rand', 'wtspc'): 1.0
('fod', 'yas'): 1.0
('ount', 'wtspc'): 1.0
('darth', 'wtspc'): 1.0
('hills', 'wtspc'): 1.0
('jinn', 'den'): 1.0
('ious', 'wtspc'): 1.0
('iee', 'le'): 1.0
('tarf', 'ful'): 1.0
('padm', 'wtspc'): 1.0
('ooi', 'ne'): 1.0
('gerz', 'yan'): 1.0
('eops', 'wtspc'): 1.0
('neb', 'he'): 1.0
('itj', 'tawy'): 1.0
('hikk', 'sos'): 1.0
('ronz', 'wtspc'): 1.0
('tuth', 'mo'): 1.0
('tuht', 'mo'): 1.0
('auk', 'ra'): 1.0
('aios', 'wtspc'): 1.0
('edt', 'mek'): 1.0
('narh', 'la'): 1.0
('sulh', 'wtspc'): 1.0
('dot', 'wtspc'): 1.0
('bast', 'wtspc'): 1.0
('porphyry', 'wtspc'): 1.0
('eanf', 'ran'): 1.0
('sod', 'yum'): 1.0
('pem', 'be'): 1.0
('ankh', 'wtspc'): 1.0
('sekhmwy', 'nin'): 1.0
('heb', 'wtspc'): 1.0
('fum', 'wtspc'): 1.0
('maq', 'ri'): 1.0
('desc', 'rip'): 1.0
('gyp', 'te'): 1.0
('aiol', 'wtspc'): 1.0
('yont', 'ma'): 1.0
('uie', 'wtspc'): 1.0
('smyr', 'na'): 1.0
('tid', 'wtspc'): 1.0
('meml', 'k'): 1.0
('jon', 'wtspc'): 1.0
('sevr', 'wtspc'): 1.0
('hall', 'wtspc'): 1.0
('oeec', 'ye'): 1.0
('pkk', 'wtspc'): 1.0
('lgbt', 'wtspc'): 1.0
('akp', 'wtspc'): 1.0
('btc', 'wtspc'): 1.0
('sq', 'wtspc'): 1.0
('sagp', 'wtspc'): 1.0
('ygs', 'wtspc'): 1.0
('lys', 'wtspc'): 1.0
('ygslys', 'wtspc'): 1.0
('kings', 'te'): 1.0
('bizm', 'wtspc'): 1.0
('way', 'wtspc'): 1.0
('how', 'wtspc'): 1.0
('jip', 'si'): 1.0
('wundt', 'wtspc'): 1.0
('muns', 'ter'): 1.0
('tell', 'wtspc'): 1.0
('mund', 'wtspc'): 1.0
('eud', 'wtspc'): 1.0
('titc', 'he'): 1.0
('wund', 'tun'): 1.0
('nell', 'wtspc'): 1.0
('gang', 'wtspc'): 1.0
('jung', 'wtspc'): 1.0
('lamb', 'd'): 1.0
('lgbtt', 'wtspc'): 1.0
('bikt', 'rans'): 1.0
('sarf', 'wtspc'): 1.0
('uop', 'son'): 1.0
('zenf', 'las'): 1.0
('yud', 'din'): 1.0
('luf', 'ti'): 1.0
('belg', 'rad'): 1.0
('conk', 'ba'): 1.0
('lovy', 'wtspc'): 1.0
('vary', 'wtspc'): 1.0
('telg', 'raf'): 1.0
('lenby', 'wtspc'): 1.0
('calt', 'hor'): 1.0
('loyd', 'wtspc'): 1.0
('uss', 'wtspc'): 1.0
('eie', 'wtspc'): 1.0
('chf', 'wtspc'): 1.0
('eux', 'wtspc'): 1.0
('iand', 'kel'): 1.0
('sahs', 'wtspc'): 1.0
('ralt', 'tik'): 1.0
('ceh', 're'): 1.0
('eeh', 'hil'): 1.0
('did', 'wtspc'): 1.0
('rew', 'wtspc'): 1.0
('zoh', 'li'): 1.0
('anth', 'ro'): 1.0
('muj', 'ga'): 1.0
('zok', 'wtspc'): 1.0
('zeh', 'ra'): 1.0
('hedr', 'endsntnc'): 1.0
('ing', 'endsntnc'): 1.0
('ferry', 'wtspc'): 1.0
('volks', 'wa'): 1.0
('oua', 'reg'): 1.0
('iech', 'wtspc'): 1.0
('cost', 'ru'): 1.0
('rost', 'wtspc'): 1.0
('bmw', 'wtspc'): 1.0
('merz', 'bank'): 1.0
('gp', 'wtspc'): 1.0
('dilt', 'hey'): 1.0
('kert', 'wtspc'): 1.0
('eoev', 'rim'): 1.0
('konst', 'ruk'): 1.0
('durk', 'h'): 1.0
('goff', 'man'): 1.0
('mills', 'wtspc'): 1.0
('toff', 'ler'): 1.0
('chn', 'wtspc'): 1.0
('eae', 'wtspc'): 1.0
('mss', 'wtspc'): 1.0
('fp', 'ga'): 1.0
('ieee', 'wtspc'): 1.0
('derg', 'ra'): 1.0
('tost', 'he'): 1.0
('regg', 'wtspc'): 1.0
('hardt', 'wtspc'): 1.0
('tof', 'wtspc'): 1.0
('erd', 'kun'): 1.0
('tark', 'ti'): 1.0
('iast', 'ro'): 1.0
('noks', 'la'): 1.0
('lerch', 'wtspc'): 1.0
('coq', 'wtspc'): 1.0
('devr', 'wtspc'): 1.0
('dank', 'wtspc'): 1.0
('lynn', 'wtspc'): 1.0
('todd', 'wtspc'): 1.0
('jost', 'wtspc'): 1.0
('tirl', 'mis'): 1.0
('hr', 'fi'): 1.0
('qq', 'wtspc'): 1.0
('ww', 'wtspc'): 1.0
('diq', 'wtspc'): 1.0
('keny', 'wtspc'): 1.0
('peh', 'le'): 1.0
('germ', 'wtspc'): 1.0
('wek', 'wtspc'): 1.0
('tsh', 'wtspc'): 1.0
('dz', 'wtspc'): 1.0
('dj', 'wtspc'): 1.0
('ew', 'wtspc'): 1.0
('ow', 'wtspc'): 1.0
('morp', 'hosyn'): 1.0
('hosyn', 'tac'): 1.0
('vity', 'wtspc'): 1.0
('ard', 'wtspc'): 1.0
('uus', 'wtspc'): 1.0
('gewr', 'wtspc'): 1.0
('synt', 'he'): 1.0
('veng', 'wtspc'): 1.0
('junc', 'ti'): 1.0
('berd', 'wtspc'): 1.0
('zaz', 'endsntnc'): 1.0
('barf', 'wtspc'): 1.0
('berf', 'wtspc'): 1.0
('xard', 'wtspc'): 1.0
('payn', 'wtspc'): 1.0
('eing', 'wtspc'): 1.0
('xas', 'wtspc'): 1.0
('mew', 'lid'): 1.0
('xam', 'ber'): 1.0
('bij', 'wtspc'): 1.0
('kih', 'wtspc'): 1.0
('zad', 'wtspc'): 1.0
('malm', 'sa'): 1.0
('nij', 'wtspc'): 1.0
('deyr', 'wtspc'): 1.0
('fabl', 'wtspc'): 1.0
('qes', 'wtspc'): 1.0
('tkptkp', 'wtspc'): 1.0
('faks', 'wtspc'): 1.0
('ailf', 'rom'): 1.0
('marl', 'bo'): 1.0
('rorcvd', 'wtspc'): 1.0
('pdt', 'da'): 1.0
('edtf', 'rom'): 1.0
('uerk', 'wtspc'): 1.0
('ject', 'wtspc'): 1.0
('rikl', 'di'): 1.0
('duct', 'wtspc'): 1.0
('bers', 'wtspc'): 1.0
('ved', 'wtspc'): 1.0
('nex', 'wtspc'): 1.0
('both', 'wtspc'): 1.0
('temt', 'wtspc'): 1.0
('full', 'wtspc'): 1.0
('tops', 'wtspc'): 1.0
('end', 'wtspc'): 1.0
('fully', 'wtspc'): 1.0
('with', 'wtspc'): 1.0
('month', 'endsntnc'): 1.0
('nals', 'wtspc'): 1.0
('tems', 'wtspc'): 1.0
('ough', 'wtspc'): 1.0
('tact', 'wtspc'): 1.0
('ftc', 'wtspc'): 1.0
('lern', 'wtspc'): 1.0
('vorm', 'lar'): 1.0
('puf', 'wtspc'): 1.0
('smtp', 'wtspc'): 1.0
('rfc', 'wtspc'): 1.0
('sanms', 'tir'): 1.0
('jef', 'fer'): 1.0
('boys', 'wtspc'): 1.0
('town', 'wtspc'): 1.0
('burs', 'lu'): 1.0
('lary', 'wtspc'): 1.0
('winsky', 'wtspc'): 1.0
('ngl', 'endsntnc'): 1.0
('bush', 'wtspc'): 1.0
('wor', 'kun'): 1.0
('resby', 'te'): 1.0
('cald', 'well'): 1.0
('selsty', 'nin'): 1.0
('masb', 'wtspc'): 1.0
('sett', 'se'): 1.0
('hamps', 'hi'): 1.0
('cord', 'wtspc'): 1.0
('kull', 'wtspc'): 1.0
('vaw', 'wtspc'): 1.0
('midd', 'le'): 1.0
('sex', 'wtspc'): 1.0
('lyc', 'e'): 1.0
('xv', 'endsntnc'): 1.0
('xix', 'endsntnc'): 1.0
('bins', 'de'): 1.0
('north', 'wtspc'): 1.0
('eigh', 'wtspc'): 1.0
('ials', 'wtspc'): 1.0
('auch', 'wtspc'): 1.0
('airc', 'lot'): 1.0
('yuy', 'la'): 1.0
('ntv', 'de'): 1.0
('datv', 'wtspc'): 1.0
('hicr', 'wtspc'): 1.0
('ett', 'de'): 1.0
('roks', 'por'): 1.0
('msp', 'wtspc'): 1.0
('falt', 'wtspc'): 1.0
('gsyh', 'wtspc'): 1.0
('yepkk', 'wtspc'): 1.0
('mokt', 'ra'): 1.0
('hsyk', 'wtspc'): 1.0
('hdp', 'wtspc'): 1.0
('cnn', 'wtspc'): 1.0
('sbs', 'wtspc'): 1.0
('surc', 'me'): 1.0
('aol', 'wtspc'): 1.0
('tck', 'wtspc'): 1.0
('uaek', 'wtspc'): 1.0
('kels', 't'): 1.0
('sd', 'wtspc'): 1.0
('sf', 'endsntnc'): 1.0
('gyk', 'da'): 1.0
('cirt', 'ti'): 1.0
('dtcf', 'de'): 1.0
('tej', 'wtspc'): 1.0
('sbf', 'de'): 1.0
('kulcbcp', 'le'): 1.0
('dbk', 'wtspc'): 1.0
('simg', 'ra'): 1.0
('kic', 'wtspc'): 1.0
('coy', 'la'): 1.0
('rockn', 'wtspc'): 1.0
('roll', 'wtspc'): 1.0
('lets', 'wtspc'): 1.0
('girl', 'wtspc'): 1.0
('pins', 'wtspc'): 1.0
('dug', 'me'): 1.0
('boss', 'wtspc'): 1.0
('golly', 'wtspc'): 1.0
('miss', 'wtspc'): 1.0
('molly', 'wtspc'): 1.0
('eep', 'wtspc'): 1.0
('east', 'wtspc'): 1.0
('eetc', 'wtspc'): 1.0
('enst', 'ru'): 1.0
('neyd', 'wtspc'): 1.0
('yep', 'ye'): 1.0
('etc', 'endsntnc'): 1.0
('psy', 'he'): 1.0
('venc', 'wtspc'): 1.0
('orc', 'hest'): 1.0
('hest', 'ra'): 1.0
('yiln', 'da'): 1.0
('synht', 'wtspc'): 1.0
('besk', 'ten'): 1.0
('aj', 'lan'): 1.0
('eskp', 're'): 1.0
('talks', 'how'): 1.0
('iim', 'wtspc'): 1.0
('stv', 'wtspc'): 1.0
('yaymn', 'la'): 1.0
('asm', 'wtspc'): 1.0
('rolls', 'roy'): 1.0
('buh', 'ran'): 1.0
('lows', 'to'): 1.0
('usgs', 'ye'): 1.0
('neng', 'dahl'): 1.0
('dahl', 'wtspc'): 1.0
('aius', 'wtspc'): 1.0
('body', 'wtspc'): 1.0
('venk', 'ya'): 1.0
('falk', 'land'): 1.0
('uern', 'sey'): 1.0
('wich', 'wtspc'): 1.0
('herm', 'wtspc'): 1.0
('hong', 'wtspc'): 1.0
('toll', 'wtspc'): 1.0
('palmy', 'ra'): 1.0
('airn', 'wtspc'): 1.0
('sint', 'wtspc'): 1.0
('turks', 'wtspc'): 1.0
('murt', 'ya'): 1.0
('zang', 'wtspc'): 1.0
('guf', 'te'): 1.0
('ull', 'ke'): 1.0
('vecd', 'wtspc'): 1.0
('amd', 'wtspc'): 1.0
('mips', 'wtspc'): 1.0
('werpc', 'wtspc'): 1.0
('emt', 'wtspc'): 1.0
('poc', 'ket'): 1.0
('garm', 'wtspc'): 1.0
('xs', 'ca'): 1.0
('rox', 'wtspc'): 1.0
('wimp', 'pa'): 1.0
('lervs', 'endsntnc'): 1.0
('kerr', 'ye'): 1.0
('gep', 'hardt'): 1.0
('tory', 'wtspc'): 1.0
('vansp', 'ritc'): 1.0
('ears', 'wtspc'): 1.0
('jist', 'wtspc'): 1.0
('yers', 'wtspc'): 1.0
('razg', 'rad'): 1.0
('gid', 'do'): 1.0
('chpytpckmp', 'wtspc'): 1.0
('myr', 'na'): 1.0
('gry', 'n'): 1.0
('eion', 'wtspc'): 1.0
('gdkb', 'wtspc'): 1.0
('yunt', 'wtspc'): 1.0
('rend', 'zi'): 1.0
('naj', 'wtspc'): 1.0
('uik', 'wtspc'): 1.0
('genk', 'wtspc'): 1.0
('merk', 'wtspc'): 1.0
('natz', 'wtspc'): 1.0
('roly', 'wtspc'): 1.0
('fosc', 'hi'): 1.0
('lenk', 'wtspc'): 1.0
('coln', 'wtspc'): 1.0
('pah', 'nik'): 1.0
('vank', 'wtspc'): 1.0
('aecy', 'pa'): 1.0
('calyp', 'tus'): 1.0
('jips', 'wtspc'): 1.0
('cans', 'por'): 1.0
('gig', 'rup'): 1.0
('medz', 'gerd'): 1.0
('gerd', 'wtspc'): 1.0
('ptt', 'wtspc'): 1.0
('tury', 'wtspc'): 1.0
('wars', 'wtspc'): 1.0
('rajdc', 'wtspc'): 1.0
('lex', 'wtspc'): 1.0
('hawk', 'wtspc'): 1.0
('demy', 'wtspc'): 1.0
('arts', 'wtspc'): 1.0
('thx', 'wtspc'): 1.0
('aby', 'wtspc'): 1.0
('batt', 'le'): 1.0
('iung', 'nu'): 1.0
('tony', 'wtspc'): 1.0
('hony', 'wtspc'): 1.0
('lyn', 'ton'): 1.0
('corbyn', 'wtspc'): 1.0
('sill', 'li'): 1.0
('ilm', 'wtspc'): 1.0
('burn', 'wtspc'): 1.0
('cp', 'wtspc'): 1.0
